,Year,Jurisdiction,Month_index,Month,Number,Area (hectares),area per fire
0,1990,Alberta,1,January,1,0.1,0.1
1,1990,Alberta,10,October,34,182.4,5.364705882352942
2,1990,Alberta,11,November,16,42.5,2.65625
3,1990,Alberta,12,December,4,0.4,0.1
4,1990,Alberta,2,February,5,3.3,0.6599999999999999
5,1990,Alberta,3,March,8,6.6,0.825
6,1990,Alberta,4,April,26,25.1,0.9653846153846154
7,1990,Alberta,5,May,110,624.2,5.674545454545455
8,1990,Alberta,6,June,196,1704.3,8.695408163265306
9,1990,Alberta,7,July,422,14934.4,35.38957345971564
10,1990,Alberta,8,August,362,14245.8,39.353038674033144
11,1990,Alberta,9,September,117,2315.8,19.793162393162394
12,1991,Alberta,1,January,9,86.2,9.577777777777778
13,1991,Alberta,10,October,65,137.6,2.1169230769230767
14,1991,Alberta,11,November,6,0.7,0.11666666666666665
15,1991,Alberta,12,December,7,35.8,5.114285714285714
16,1991,Alberta,2,February,4,0.8,0.2
17,1991,Alberta,3,March,8,117.5,14.6875
18,1991,Alberta,4,April,111,1158.0,10.432432432432432
19,1991,Alberta,5,May,197,3467.6,17.60203045685279
20,1991,Alberta,6,June,111,87.2,0.7855855855855857
21,1991,Alberta,7,July,119,115.4,0.9697478991596639
22,1991,Alberta,8,August,234,784.1,3.350854700854701
23,1991,Alberta,9,September,53,173.9,3.281132075471698
24,1992,Alberta,1,January,14,12.0,0.8571428571428571
25,1992,Alberta,10,October,29,79.7,2.7482758620689656
26,1992,Alberta,11,November,15,5.3,0.35333333333333333
27,1992,Alberta,12,December,4,0.4,0.1
28,1992,Alberta,2,February,11,54.2,4.927272727272728
29,1992,Alberta,3,March,61,248.3,4.0704918032786885
30,1992,Alberta,4,April,110,1254.0,11.4
31,1992,Alberta,5,May,91,419.8,4.613186813186814
32,1992,Alberta,6,June,147,706.0,4.802721088435374
33,1992,Alberta,7,July,221,268.0,1.2126696832579185
34,1992,Alberta,8,August,339,494.8,1.4595870206489676
35,1992,Alberta,9,September,14,5.5,0.39285714285714285
36,1993,Alberta,1,January,8,2.7,0.3375
37,1993,Alberta,10,October,19,49.3,2.594736842105263
38,1993,Alberta,11,November,7,8.1,1.157142857142857
39,1993,Alberta,12,December,1,0.01,0.01
40,1993,Alberta,2,February,12,39.3,3.275
41,1993,Alberta,3,March,28,227.1,8.110714285714286
42,1993,Alberta,4,April,52,301.1,5.790384615384616
43,1993,Alberta,5,May,241,6474.5,26.865145228215766
44,1993,Alberta,6,June,314,18539.4,59.04267515923567
45,1993,Alberta,7,July,108,127.3,1.1787037037037036
46,1993,Alberta,8,August,35,284.6,8.131428571428572
47,1993,Alberta,9,September,17,7.0,0.4117647058823529
48,1994,Alberta,1,January,4,15.22,3.805
49,1994,Alberta,10,October,25,26.54,1.0615999999999999
50,1994,Alberta,11,November,30,22.92,0.764
51,1994,Alberta,12,December,9,14.8,1.6444444444444446
52,1994,Alberta,3,March,12,31.9,2.658333333333333
53,1994,Alberta,4,April,64,868.33,13.56765625
54,1994,Alberta,5,May,131,2630.99,20.083893129770992
55,1994,Alberta,6,June,206,6581.28,31.947961165048543
56,1994,Alberta,7,July,210,17069.01,81.28099999999999
57,1994,Alberta,8,August,105,1112.48,10.59504761904762
58,1994,Alberta,9,September,81,1208.76,14.922962962962963
59,1995,Alberta,1,January,10,1.45,0.145
60,1995,Alberta,10,October,33,41.68,1.263030303030303
61,1995,Alberta,11,November,4,0.41,0.1025
62,1995,Alberta,2,February,6,10.32,1.72
63,1995,Alberta,3,March,29,289.35,9.977586206896552
64,1995,Alberta,4,April,57,578.92,10.156491228070175
65,1995,Alberta,5,May,213,330663.75,1552.411971830986
66,1995,Alberta,6,June,267,3784.88,14.17558052434457
67,1995,Alberta,7,July,95,99.01,1.0422105263157895
68,1995,Alberta,8,August,26,2109.76,81.14461538461539
69,1995,Alberta,9,September,58,370.03,6.379827586206896
70,1996,Alberta,1,January,1,0.12,0.12
71,1996,Alberta,10,October,7,2.01,0.2871428571428571
72,1996,Alberta,11,November,2,0.21,0.105
73,1996,Alberta,12,December,2,0.35,0.175
74,1996,Alberta,3,March,1,1.1,1.1
75,1996,Alberta,4,April,26,92.67,3.564230769230769
76,1996,Alberta,5,May,56,522.03,9.321964285714285
77,1996,Alberta,6,June,106,533.69,5.034811320754717
78,1996,Alberta,7,July,86,775.27,9.014767441860466
79,1996,Alberta,8,August,75,21.79,0.2905333333333333
80,1996,Alberta,9,September,14,12.15,0.8678571428571429
81,1997,Alberta,1,January,1,0.01,0.01
82,1997,Alberta,10,October,3,0.31,0.10333333333333333
83,1997,Alberta,11,November,1,0.1,0.1
84,1997,Alberta,12,December,32,3896.84,121.77625
85,1997,Alberta,3,March,4,24.7,6.175
86,1997,Alberta,4,April,24,117.18,4.8825
87,1997,Alberta,5,May,120,356.11,2.9675833333333332
88,1997,Alberta,6,June,32,49.9,1.559375
89,1997,Alberta,7,July,143,212.55,1.4863636363636366
90,1997,Alberta,8,August,79,60.12,0.761012658227848
91,1997,Alberta,9,September,17,7.13,0.4194117647058824
92,1998,Alberta,10,October,60,311.05,5.184166666666667
93,1998,Alberta,11,November,10,0.94,0.094
94,1998,Alberta,12,December,9,1.03,0.11444444444444445
95,1998,Alberta,3,March,2,0.5,0.25
96,1998,Alberta,4,April,152,1362.21,8.961907894736843
97,1998,Alberta,5,May,402,349600.58,869.653184079602
98,1998,Alberta,6,June,261,27747.45,106.31206896551724
99,1998,Alberta,7,July,186,722.71,3.8855376344086023
100,1998,Alberta,8,August,533,347172.87,651.3562288930582
101,1998,Alberta,9,September,83,48.73,0.5871084337349397
102,1999,Alberta,1,January,4,17.72,4.43
103,1999,Alberta,10,October,84,517.04,6.1552380952380945
104,1999,Alberta,11,November,29,505.63,17.43551724137931
105,1999,Alberta,12,December,28,195.8,6.992857142857143
106,1999,Alberta,3,March,5,3.61,0.722
107,1999,Alberta,4,April,133,1286.71,9.674511278195489
108,1999,Alberta,5,May,119,36135.36,303.658487394958
109,1999,Alberta,6,June,207,26177.56,126.4616425120773
110,1999,Alberta,7,July,275,52406.89,190.5705090909091
111,1999,Alberta,8,August,427,1708.2,4.000468384074941
112,1999,Alberta,9,September,44,1550.25,35.23295454545455
113,2000,Alberta,1,January,8,3.79,0.47375
114,2000,Alberta,10,October,14,17.99,1.285
115,2000,Alberta,11,November,5,0.28,0.05600000000000001
116,2000,Alberta,12,December,1,0.01,0.01
117,2000,Alberta,2,February,8,4.72,0.59
118,2000,Alberta,3,March,28,1083.43,38.69392857142857
119,2000,Alberta,4,April,134,2917.4,21.771641791044775
120,2000,Alberta,5,May,104,732.37,7.042019230769231
121,2000,Alberta,6,June,242,6422.04,26.537355371900826
122,2000,Alberta,7,July,163,1376.31,8.44361963190184
123,2000,Alberta,8,August,66,2175.6,32.96363636363636
124,2000,Alberta,9,September,10,1.96,0.196
125,2001,Alberta,1,January,4,0.17,0.0425
126,2001,Alberta,10,October,56,72.93,1.3023214285714286
127,2001,Alberta,11,November,22,1.52,0.06909090909090909
128,2001,Alberta,12,December,10,0.62,0.062
129,2001,Alberta,2,February,2,0.02,0.01
130,2001,Alberta,3,March,27,50.96,1.8874074074074074
131,2001,Alberta,4,April,76,1115.04,14.67157894736842
132,2001,Alberta,5,May,281,142105.52,505.7135943060498
133,2001,Alberta,6,June,174,671.99,3.8620114942528736
134,2001,Alberta,7,July,186,365.38,1.9644086021505376
135,2001,Alberta,8,August,83,128.44,1.5474698795180724
136,2001,Alberta,9,September,53,9591.14,180.96490566037735
137,2002,Alberta,1,January,10,20.21,2.021
138,2002,Alberta,10,October,22,1.82,0.08272727272727273
139,2002,Alberta,11,November,19,82.12,4.322105263157895
140,2002,Alberta,12,December,5,0.33,0.066
141,2002,Alberta,2,February,3,0.04,0.013333333333333334
142,2002,Alberta,3,March,3,0.04,0.013333333333333334
143,2002,Alberta,4,April,32,295.5,9.234375
144,2002,Alberta,5,May,256,240234.17,938.4147265625
145,2002,Alberta,6,June,567,254575.37,448.9865432098765
146,2002,Alberta,7,July,352,1096.65,3.1154829545454548
147,2002,Alberta,8,August,118,106.94,0.906271186440678
148,2002,Alberta,9,September,58,6.02,0.10379310344827586
149,2003,Alberta,1,January,13,115.91,8.916153846153845
150,2003,Alberta,10,October,57,1732.65,30.397368421052633
151,2003,Alberta,11,November,14,1.11,0.07928571428571429
152,2003,Alberta,12,December,7,4.05,0.5785714285714285
153,2003,Alberta,2,February,4,0.04,0.01
154,2003,Alberta,4,April,32,157.55,4.9234375
155,2003,Alberta,5,May,263,1715.56,6.523041825095057
156,2003,Alberta,6,June,200,576.24,2.8812
157,2003,Alberta,7,July,309,68602.13,222.01336569579288
158,2003,Alberta,8,August,234,1682.37,7.189615384615384
159,2003,Alberta,9,September,58,319.31,5.505344827586207
160,2004,Alberta,1,January,3,2.02,0.6733333333333333
161,2004,Alberta,10,October,27,18.58,0.6881481481481481
162,2004,Alberta,11,November,3,0.22,0.07333333333333333
163,2004,Alberta,12,December,2,1.01,0.505
164,2004,Alberta,2,February,3,5.04,1.68
165,2004,Alberta,3,March,8,76.24,9.53
166,2004,Alberta,4,April,228,2352.83,10.319429824561404
167,2004,Alberta,5,May,297,1244.66,4.190774410774411
168,2004,Alberta,6,June,270,822.15,3.045
169,2004,Alberta,7,July,613,230996.67,376.82980424143557
170,2004,Alberta,8,August,115,321.49,2.7955652173913044
171,2004,Alberta,9,September,42,322.47,7.677857142857143
172,2005,Alberta,1,January,3,0.51,0.17
173,2005,Alberta,10,October,34,43.19,1.2702941176470588
174,2005,Alberta,11,November,30,54.5,1.8166666666666667
175,2005,Alberta,12,December,9,4.6,0.5111111111111111
176,2005,Alberta,2,February,8,1.15,0.14375
177,2005,Alberta,3,March,4,8.56,2.14
178,2005,Alberta,4,April,200,659.82,3.2991
179,2005,Alberta,5,May,438,11483.19,26.217328767123288
180,2005,Alberta,6,June,261,46606.35,178.5683908045977
181,2005,Alberta,7,July,238,1827.93,7.680378151260505
182,2005,Alberta,8,August,85,27.53,0.3238823529411765
183,2005,Alberta,9,September,64,8.81,0.13765625
184,2006,Alberta,1,January,22,5.23,0.23772727272727276
185,2006,Alberta,10,October,56,173.2,3.0928571428571425
186,2006,Alberta,11,November,6,0.34,0.05666666666666667
187,2006,Alberta,12,December,4,0.84,0.21
188,2006,Alberta,2,February,19,34.49,1.815263157894737
189,2006,Alberta,3,March,48,7.45,0.15520833333333334
190,2006,Alberta,4,April,350,3574.81,10.213742857142856
191,2006,Alberta,5,May,388,3192.94,8.229226804123712
192,2006,Alberta,6,June,325,89315.48,274.8168615384615
193,2006,Alberta,7,July,521,20460.3,39.27120921305182
194,2006,Alberta,8,August,149,1979.82,13.28738255033557
195,2006,Alberta,9,September,139,56.85,0.4089928057553957
196,2007,Alberta,1,January,6,4.86,0.81
197,2007,Alberta,10,October,59,11.19,0.18966101694915252
198,2007,Alberta,11,November,26,31.81,1.2234615384615384
199,2007,Alberta,12,December,5,0.24,0.048
200,2007,Alberta,2,February,3,0.3,0.09999999999999999
201,2007,Alberta,3,March,7,2.13,0.30428571428571427
202,2007,Alberta,4,April,126,392.58,3.1157142857142857
203,2007,Alberta,5,May,233,925.69,3.9729184549356225
204,2007,Alberta,6,June,257,22923.54,89.19665369649806
205,2007,Alberta,7,July,394,79316.75,201.31154822335026
206,2007,Alberta,8,August,157,7.05,0.04490445859872611
207,2007,Alberta,9,September,64,2.86,0.0446875
208,2008,Alberta,1,January,8,10.68,1.335
209,2008,Alberta,10,October,86,125.01,1.4536046511627907
210,2008,Alberta,11,November,20,4.64,0.23199999999999998
211,2008,Alberta,12,December,1,0.2,0.2
212,2008,Alberta,2,February,3,2.91,0.9700000000000001
213,2008,Alberta,3,March,17,43.25,2.5441176470588234
214,2008,Alberta,4,April,102,105.45,1.0338235294117648
215,2008,Alberta,5,May,438,1943.42,4.43703196347032
216,2008,Alberta,6,June,339,4540.98,13.395221238938051
217,2008,Alberta,7,July,412,12390.54,30.074126213592233
218,2008,Alberta,8,August,221,1488.59,6.735701357466063
219,2008,Alberta,9,September,75,133.16,1.7754666666666665
220,2009,Alberta,1,January,7,13.83,1.9757142857142858
221,2009,Alberta,10,October,44,2.59,0.05886363636363636
222,2009,Alberta,11,November,16,990.87,61.929375
223,2009,Alberta,12,December,5,0.23,0.046
224,2009,Alberta,2,February,9,40.98,4.553333333333333
225,2009,Alberta,3,March,2,0.11,0.055
226,2009,Alberta,4,April,126,235.69,1.8705555555555555
227,2009,Alberta,5,May,490,2093.22,4.271877551020408
228,2009,Alberta,6,June,454,61690.74,135.8826872246696
229,2009,Alberta,7,July,170,217.16,1.2774117647058822
230,2009,Alberta,8,August,178,59.97,0.33691011235955054
231,2009,Alberta,9,September,172,1557.45,9.054941860465117
232,2010,Alberta,1,January,5,0.06,0.012
233,2010,Alberta,10,October,60,321.62,5.360333333333333
234,2010,Alberta,11,November,24,50.27,2.0945833333333335
235,2010,Alberta,12,December,2,0.02,0.01
236,2010,Alberta,2,February,4,0.73,0.1825
237,2010,Alberta,3,March,46,98.73,2.1463043478260873
238,2010,Alberta,4,April,334,655.57,1.9627844311377247
239,2010,Alberta,5,May,378,1137.11,3.008227513227513
240,2010,Alberta,6,June,335,38202.15,114.03626865671642
241,2010,Alberta,7,July,488,40671.98,83.34422131147542
242,2010,Alberta,8,August,171,182.22,1.0656140350877192
243,2010,Alberta,9,September,45,2.58,0.05733333333333333
244,2011,Alberta,1,January,2,0.21,0.105
245,2011,Alberta,10,October,43,99.94,2.324186046511628
246,2011,Alberta,11,November,28,7.67,0.2739285714285714
247,2011,Alberta,12,December,3,0.03,0.01
248,2011,Alberta,3,March,1,0.01,0.01
249,2011,Alberta,4,April,137,110.08,0.8035036496350365
250,2011,Alberta,5,May,403,731062.39,1814.0505955334988
251,2011,Alberta,6,June,109,73753.72,676.6396330275229
252,2011,Alberta,7,July,172,114.01,0.6628488372093023
253,2011,Alberta,8,August,154,312.57,2.0296753246753245
254,2011,Alberta,9,September,121,427.55,3.533471074380165
255,2012,Alberta,1,January,14,1.42,0.10142857142857142
256,2012,Alberta,10,October,40,20.06,0.5015
257,2012,Alberta,11,November,2,0.03,0.015
258,2012,Alberta,2,February,3,0.32,0.10666666666666667
259,2012,Alberta,3,March,31,164.94,5.320645161290322
260,2012,Alberta,4,April,122,124.68,1.0219672131147541
261,2012,Alberta,5,May,454,7626.49,16.79843612334802
262,2012,Alberta,6,June,118,199677.32,1692.1806779661017
263,2012,Alberta,7,July,385,163603.06,424.943012987013
264,2012,Alberta,8,August,266,13330.35,50.114097744360905
265,2012,Alberta,9,September,170,1269.75,7.469117647058823
266,2013,Alberta,1,January,1,0.1,0.1
267,2013,Alberta,10,October,25,12.41,0.4964
268,2013,Alberta,11,November,13,0.33,0.025384615384615387
269,2013,Alberta,12,December,1,0.04,0.04
270,2013,Alberta,2,February,2,3.77,1.885
271,2013,Alberta,3,March,9,2.27,0.25222222222222224
272,2013,Alberta,4,April,35,40.11,1.146
273,2013,Alberta,5,May,524,2380.09,4.542156488549619
274,2013,Alberta,6,June,121,11338.2,93.70413223140497
275,2013,Alberta,7,July,193,5740.03,29.741088082901552
276,2013,Alberta,8,August,164,57.47,0.35042682926829266
277,2013,Alberta,9,September,130,4.02,0.03092307692307692
278,2014,Alberta,1,January,8,1.86,0.2325
279,2014,Alberta,10,October,39,66.7,1.7102564102564104
280,2014,Alberta,11,November,15,0.77,0.051333333333333335
281,2014,Alberta,12,December,2,0.3,0.15
282,2014,Alberta,3,March,11,1.26,0.11454545454545455
283,2014,Alberta,4,April,80,392.68,4.9085
284,2014,Alberta,5,May,359,355.15,0.9892757660167131
285,2014,Alberta,6,June,264,1109.34,4.202045454545455
286,2014,Alberta,7,July,311,20925.63,67.28498392282958
287,2014,Alberta,8,August,249,446.45,1.7929718875502008
288,2014,Alberta,9,September,113,392.57,3.474070796460177
289,2015,Alberta,1,January,2,1.27,0.635
290,2015,Alberta,10,October,62,79.06,1.2751612903225806
291,2015,Alberta,11,November,23,7.09,0.30826086956521737
292,2015,Alberta,12,December,8,1.01,0.12625
293,2015,Alberta,2,February,4,0.2,0.05
294,2015,Alberta,3,March,32,13.47,0.4209375
295,2015,Alberta,4,April,272,627.18,2.3058088235294116
296,2015,Alberta,5,May,493,48023.19,97.41012170385396
297,2015,Alberta,6,June,459,397383.82,865.7599564270153
298,2015,Alberta,7,July,300,20066.22,66.8874
299,2015,Alberta,8,August,149,65.03,0.43644295302013425
300,2015,Alberta,9,September,52,49.76,0.9569230769230769
301,2016,Alberta,1,January,7,0.37,0.05285714285714286
302,2016,Alberta,10,October,13,0.5,0.038461538461538464
303,2016,Alberta,11,November,12,0.69,0.057499999999999996
304,2016,Alberta,12,December,4,11.82,2.955
305,2016,Alberta,2,February,12,5.73,0.47750000000000004
306,2016,Alberta,3,March,61,22.02,0.36098360655737705
307,2016,Alberta,4,April,282,2566.82,9.102198581560284
308,2016,Alberta,5,May,247,498401.82,2017.8211336032389
309,2016,Alberta,6,June,391,4764.32,12.184961636828644
310,2016,Alberta,7,July,204,1056.33,5.178088235294117
311,2016,Alberta,8,August,122,168.49,1.3810655737704918
312,2016,Alberta,9,September,81,58.13,0.7176543209876544
313,2017,Alberta,1,January,3,0.71,0.23666666666666666
314,2017,Alberta,10,October,49,1701.19,34.718163265306124
315,2017,Alberta,11,November,5,0.33,0.066
316,2017,Alberta,12,December,3,9.16,3.0533333333333332
317,2017,Alberta,2,February,3,89.82,29.939999999999998
318,2017,Alberta,3,March,14,14.66,1.0471428571428572
319,2017,Alberta,4,April,97,592.97,6.113092783505155
320,2017,Alberta,5,May,329,1287.29,3.91273556231003
321,2017,Alberta,6,June,164,921.71,5.620182926829268
322,2017,Alberta,7,July,257,1156.52,4.500077821011673
323,2017,Alberta,8,August,247,27774.87,112.44886639676113
324,2017,Alberta,9,September,73,15684.08,214.85041095890412
325,2018,Alberta,1,January,2,0.11,0.055
326,2018,Alberta,10,October,51,232.0,4.549019607843137
327,2018,Alberta,11,November,6,4.34,0.7233333333333333
328,2018,Alberta,12,December,3,397.79,132.59666666666666
329,2018,Alberta,3,March,18,2.1,0.11666666666666667
330,2018,Alberta,4,April,95,117.07,1.232315789473684
331,2018,Alberta,5,May,438,30217.75,68.99029680365297
332,2018,Alberta,6,June,320,12959.45,40.498281250000005
333,2018,Alberta,7,July,147,7286.24,49.56625850340136
334,2018,Alberta,8,August,160,8925.36,55.783500000000004
335,2018,Alberta,9,September,59,43.01,0.7289830508474576
336,2019,Alberta,1,January,14,2.19,0.15642857142857142
337,2019,Alberta,10,October,16,8.79,0.549375
338,2019,Alberta,11,November,1,0.01,0.01
339,2019,Alberta,12,December,1,0.1,0.1
340,2019,Alberta,2,February,1,0.01,0.01
341,2019,Alberta,3,March,34,14.01,0.41205882352941176
342,2019,Alberta,4,April,182,612.58,3.365824175824176
343,2019,Alberta,5,May,306,815383.27,2664.651209150327
344,2019,Alberta,6,June,172,2926.29,17.01331395348837
345,2019,Alberta,7,July,192,66961.69,348.75880208333336
346,2019,Alberta,8,August,73,3.13,0.04287671232876712
347,2019,Alberta,9,September,29,31.17,1.0748275862068966
348,1990,British Columbia,10,October,60,122.7,2.045
349,1990,British Columbia,11,November,6,0.8,0.13333333333333333
350,1990,British Columbia,2,February,3,0.7,0.2333333333333333
351,1990,British Columbia,3,March,35,123.0,3.5142857142857142
352,1990,British Columbia,4,April,147,435.1,2.9598639455782316
353,1990,British Columbia,5,May,235,3443.9,14.654893617021276
354,1990,British Columbia,6,June,95,79.9,0.8410526315789474
355,1990,British Columbia,7,July,775,25045.7,32.317032258064515
356,1990,British Columbia,8,August,1563,11674.3,7.469161868202175
357,1990,British Columbia,9,September,336,34855.7,103.73720238095237
358,1991,British Columbia,1,January,2,0.2,0.1
359,1991,British Columbia,10,October,248,2278.3,9.186693548387098
360,1991,British Columbia,11,November,5,0.5,0.1
361,1991,British Columbia,2,February,5,1076.7,215.34
362,1991,British Columbia,3,March,25,161.9,6.476
363,1991,British Columbia,4,April,204,2603.1,12.760294117647058
364,1991,British Columbia,5,May,193,3840.3,19.897927461139897
365,1991,British Columbia,6,June,291,3411.8,11.724398625429554
366,1991,British Columbia,7,July,296,192.4,0.65
367,1991,British Columbia,8,August,572,9646.1,16.86381118881119
368,1991,British Columbia,9,September,172,1497.5,8.706395348837209
369,1992,British Columbia,1,January,6,7.0,1.1666666666666667
370,1992,British Columbia,10,October,126,116.8,0.9269841269841269
371,1992,British Columbia,11,November,4,0.4,0.1
372,1992,British Columbia,12,December,1,0.0,0.0
373,1992,British Columbia,2,February,2,2.1,1.05
374,1992,British Columbia,3,March,70,175.3,2.5042857142857144
375,1992,British Columbia,4,April,155,1206.5,7.783870967741936
376,1992,British Columbia,5,May,243,6740.3,27.73786008230453
377,1992,British Columbia,6,June,705,5844.3,8.289787234042553
378,1992,British Columbia,7,July,493,11631.1,23.592494929006087
379,1992,British Columbia,8,August,1803,4350.9,2.4131447587354407
380,1992,British Columbia,9,September,197,378.1,1.919289340101523
381,1993,British Columbia,1,January,3,20.5,6.833333333333333
382,1993,British Columbia,10,October,119,370.6,3.1142857142857143
383,1993,British Columbia,11,November,10,16.7,1.67
384,1993,British Columbia,2,February,16,243.1,15.19375
385,1993,British Columbia,3,March,34,146.2,4.3
386,1993,British Columbia,4,April,77,186.8,2.425974025974026
