Year,AnnÈe,ISO,Jurisdiction,Juridiction,Cause,Origine,Area (hectares),Data Qualifier,Superficie (en hectare),Qualificatifs de donnÈes
1990,1990,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,2385.4,a,2385.4,a
1990,1990,AB,Alberta,Alberta,Lightning,Foudre,30890.7,a,30890.7,a
1990,1990,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,808.8,a,808.8,a
1991,1991,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,2260.5,a,2260.5,a
1991,1991,AB,Alberta,Alberta,Lightning,Foudre,3769.3,a,3769.3,a
1991,1991,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,135,a,135,a
1992,1992,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,2002.2,a,2002.2,a
1992,1992,AB,Alberta,Alberta,Lightning,Foudre,1075.2,a,1075.2,a
1992,1992,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,470.6,a,470.6,a
1993,1993,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,1138.61,a,1138.61,a
1993,1993,AB,Alberta,Alberta,Lightning,Foudre,24892.7,a,24892.7,a
1993,1993,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,29.1,a,29.1,a
1994,1994,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,2484.8,a,2484.8,a
1994,1994,AB,Alberta,Alberta,Lightning,Foudre,27057.68,a,27057.68,a
1994,1994,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,39.75,a,39.75,a
1995,1995,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,7886.62,a,7886.62,a
1995,1995,AB,Alberta,Alberta,Lightning,Foudre,327019.99,a,327019.99,a
1995,1995,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,3042.95,a,3042.95,a
1996,1996,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,655.24,a,655.24,a
1996,1996,AB,Alberta,Alberta,Lightning,Foudre,1281.76,a,1281.76,a
1996,1996,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,24.39,a,24.39,a
1997,1997,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,4383.07,a,4383.07,a
