Year,AnnÈe,ISO,Jurisdiction,Juridiction,Fire size class,Classe de superficie ‡ l'extinction ,Area (hectares),Data Qualifier,Superficie (en hectare),Qualificatifs de donnÈes
1990,1990,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",153.9,a,153.9,a
1990,1990,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",448.8,a,448.8,a
1990,1990,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,11809.5,a,11809.5,a
1990,1990,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1640.4,a,1640.4,a
1990,1990,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",7579.1,a,7579.1,a
1990,1990,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,12379.7,a,12379.7,a
1990,1990,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",73.5,a,73.5,a
1991,1991,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",119.2,a,119.2,a
1991,1991,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",464.2,a,464.2,a
1991,1991,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1575.4,a,1575.4,a
1991,1991,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",2401,a,2401,a
1991,1991,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,1559.1,a,1559.1,a
1991,1991,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",45.9,a,45.9,a
1992,1992,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",130.1,a,130.1,a
1992,1992,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",457,a,457,a
1992,1992,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1167.2,a,1167.2,a
1992,1992,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",1731.4,a,1731.4,a
1992,1992,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",62.3,a,62.3,a
1993,1993,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",127,a,127,a
1993,1993,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",571.8,a,571.8,a
1993,1993,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1711.4,a,1711.4,a
1993,1993,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",5087.6,a,5087.6,a
1993,1993,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,18528.2,a,18528.2,a
1993,1993,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",34.41,a,34.41,a
1994,1994,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",136.2,a,136.2,a
1994,1994,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",524,a,524,a
1994,1994,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,13137.7,a,13137.7,a
1994,1994,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1531,a,1531,a
1994,1994,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",3455.2,a,3455.2,a
1994,1994,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,10777.1,a,10777.1,a
1994,1994,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",21.03,a,21.03,a
1995,1995,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",115.6,a,115.6,a
1995,1995,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",623.1,a,623.1,a
1995,1995,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,47408.4,a,47408.4,a
1995,1995,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1464.2,a,1464.2,a
1995,1995,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",3270.6,a,3270.6,a
1995,1995,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,22962.9,a,22962.9,a
1995,1995,AB,Alberta,Alberta,Over 100 000,Over 100 000,262087.6,a,262087.6,a
1995,1995,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",17.16,a,17.16,a
1996,1996,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",53.99,a,53.99,a
1996,1996,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",194.7,a,194.7,a
1996,1996,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",496.5,a,496.5,a
1996,1996,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",1207,a,1207,a
1996,1996,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",9.2,a,9.2,a
1997,1997,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",82.2,a,82.2,a
1997,1997,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",288.77,a,288.77,a
1997,1997,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",534.1,a,534.1,a
1997,1997,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",1010,a,1010,a
1997,1997,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,2800,a,2800,a
1997,1997,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",9.88,a,9.88,a
1998,1998,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",255.8,a,255.8,a
1998,1998,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",1128.53,a,1128.53,a
1998,1998,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,315509.3,a,315509.3,a
1998,1998,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",3170.49,a,3170.49,a
1998,1998,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",19747.77,a,19747.77,a
