Year,AnnÈe,ISO,Jurisdiction,Juridiction,Cause,Origine,Number,Data Qualifier,Nombre,Qualificatifs de donnÈes
1990,1990,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,372,a,372,a
1990,1990,AB,Alberta,Alberta,Lightning,Foudre,914,a,914,a
1990,1990,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,15,a,15,a
1991,1991,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,431,a,431,a
1991,1991,AB,Alberta,Alberta,Lightning,Foudre,466,a,466,a
1991,1991,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,27,a,27,a
1992,1992,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,398,a,398,a
1992,1992,AB,Alberta,Alberta,Lightning,Foudre,626,a,626,a
1992,1992,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,32,a,32,a
1993,1993,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,303,a,303,a
1993,1993,AB,Alberta,Alberta,Lightning,Foudre,517,a,517,a
1993,1993,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,22,a,22,a
1994,1994,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,361,a,361,a
1994,1994,AB,Alberta,Alberta,Lightning,Foudre,499,a,499,a
1994,1994,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,17,a,17,a
1995,1995,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,413,a,413,a
1995,1995,AB,Alberta,Alberta,Lightning,Foudre,358,a,358,a
1995,1995,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,27,a,27,a
1996,1996,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,143,a,143,a
1996,1996,AB,Alberta,Alberta,Lightning,Foudre,217,a,217,a
1996,1996,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,16,a,16,a
1997,1997,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,204,a,204,a
1997,1997,AB,Alberta,Alberta,Lightning,Foudre,242,a,242,a
1997,1997,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,10,a,10,a
1998,1998,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,448,a,448,a
1998,1998,AB,Alberta,Alberta,Lightning,Foudre,1192,a,1192,a
