Year,AnnÈe,ISO,Jurisdiction,Juridiction,Fire size class,Classe de superficie ‡ l'extinction ,Number,Data Qualifier,Nombre,Qualificatifs de donnÈes
1990,1990,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",347,a,347,a
1990,1990,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",145,a,145,a
1990,1990,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,1,a,1,a
1990,1990,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",49,a,49,a
1990,1990,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",21,a,21,a
1990,1990,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,3,a,3,a
1990,1990,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",735,a,735,a
1991,1991,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",266,a,266,a
1991,1991,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",144,a,144,a
1991,1991,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",44,a,44,a
1991,1991,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",10,a,10,a
1991,1991,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,1,a,1,a
1991,1991,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",459,a,459,a
1992,1992,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",271,a,271,a
1992,1992,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",122,a,122,a
1992,1992,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",31,a,31,a
1992,1992,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",9,a,9,a
1992,1992,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",623,a,623,a
1993,1993,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",261,a,261,a
1993,1993,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",163,a,163,a
1993,1993,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",51,a,51,a
1993,1993,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",17,a,17,a
1993,1993,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,5,a,5,a
1993,1993,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",345,a,345,a
1994,1994,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",274,a,274,a
1994,1994,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",154,a,154,a
1994,1994,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,1,a,1,a
1994,1994,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",48,a,48,a
1994,1994,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",9,a,9,a
1994,1994,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,4,a,4,a
1994,1994,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",387,a,387,a
1995,1995,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",237,a,237,a
1995,1995,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",172,a,172,a
1995,1995,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,2,a,2,a
1995,1995,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",50,a,50,a
1995,1995,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",12,a,12,a
1995,1995,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,6,a,6,a
1995,1995,AB,Alberta,Alberta,Over 100 000,Over 100 000,2,a,2,a
1995,1995,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",317,a,317,a
1996,1996,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",108,a,108,a
1996,1996,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",66,a,66,a
1996,1996,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",12,a,12,a
1996,1996,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",5,a,5,a
1996,1996,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",185,a,185,a
1997,1997,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",163,a,163,a
1997,1997,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",81,a,81,a
1997,1997,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",19,a,19,a
1997,1997,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",3,a,3,a
1997,1997,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,1,a,1,a
1997,1997,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",189,a,189,a
1998,1998,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",543,a,543,a
1998,1998,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",310,a,310,a
1998,1998,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,14,a,14,a
1998,1998,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",93,a,93,a
1998,1998,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",46,a,46,a
1998,1998,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,18,a,18,a
1998,1998,AB,Alberta,Alberta,Over 100 000,Over 100 000,2,a,2,a
1998,1998,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",672,a,672,a
1999,1999,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",399,a,399,a
1999,1999,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",238,a,238,a
1999,1999,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,1,a,1,a
1999,1999,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",80,a,80,a
1999,1999,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",32,a,32,a
1999,1999,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,23,a,23,a
1999,1999,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",582,a,582,a
2000,2000,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",242,a,242,a
2000,2000,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",155,a,155,a
2000,2000,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",40,a,40,a
2000,2000,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",12,a,12,a
2000,2000,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,6,a,6,a
2000,2000,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",328,a,328,a
2001,2001,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",282,a,282,a
2001,2001,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",154,a,154,a
2001,2001,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,1,a,1,a
2001,2001,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",26,a,26,a
2001,2001,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",18,a,18,a
2001,2001,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,5,a,5,a
2001,2001,AB,Alberta,Alberta,Over 100 000,Over 100 000,1,a,1,a
2001,2001,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",487,a,487,a
2002,2002,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",328,a,328,a
2002,2002,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",169,a,169,a
2002,2002,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,2,a,2,a
2002,2002,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",45,a,45,a
2002,2002,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",13,a,13,a
2002,2002,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,15,a,15,a
2002,2002,AB,Alberta,Alberta,Over 100 000,Over 100 000,2,a,2,a
2002,2002,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",871,a,871,a
2003,2003,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",230,a,230,a
2003,2003,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",106,a,106,a
2003,2003,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,2,a,2,a
2003,2003,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",28,a,28,a
2003,2003,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",8,a,8,a
2003,2003,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,6,a,6,a
2003,2003,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",811,a,811,a
2004,2004,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",372,a,372,a
2004,2004,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",167,a,167,a
2004,2004,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,5,a,5,a
2004,2004,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",51,a,51,a
2004,2004,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",29,a,29,a
2004,2004,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,7,a,7,a
2004,2004,AB,Alberta,Alberta,Over 100 000,Over 100 000,1,a,1,a
2004,2004,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",979,a,979,a
2005,2005,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",300,a,300,a
2005,2005,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",129,a,129,a
2005,2005,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,1,a,1,a
2005,2005,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",47,a,47,a
2005,2005,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",11,a,11,a
2005,2005,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,4,a,4,a
2005,2005,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",882,a,882,a
2006,2006,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",429,a,429,a
2006,2006,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",114,a,114,a
2006,2006,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,3,a,3,a
2006,2006,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",66,a,66,a
2006,2006,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",22,a,22,a
2006,2006,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,18,a,18,a
2006,2006,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",1375,a,1375,a
2007,2007,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",247,a,247,a
2007,2007,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",96,a,96,a
2007,2007,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,2,a,2,a
