Year,AnnÈe,ISO,Jurisdiction,Juridiction,Month,Mois,Number,Data Qualifier,Nombre,Qualificatifs de donnÈes
1990,1990,AB,Alberta,Alberta,January,Janvier,1,a,1,a
1990,1990,AB,Alberta,Alberta,October,Octobre,34,a,34,a
1990,1990,AB,Alberta,Alberta,November,Novembre,16,a,16,a
1990,1990,AB,Alberta,Alberta,December,DÈcembre,4,a,4,a
1990,1990,AB,Alberta,Alberta,February,FÈvrier,5,a,5,a
1990,1990,AB,Alberta,Alberta,March,Mars,8,a,8,a
1990,1990,AB,Alberta,Alberta,April,Avril,26,a,26,a
1990,1990,AB,Alberta,Alberta,May,Mai,110,a,110,a
1990,1990,AB,Alberta,Alberta,June,Juin,196,a,196,a
1990,1990,AB,Alberta,Alberta,July,Juillet,422,a,422,a
1990,1990,AB,Alberta,Alberta,August,Ao˚t,362,a,362,a
1990,1990,AB,Alberta,Alberta,September,Septembre,117,a,117,a
1991,1991,AB,Alberta,Alberta,January,Janvier,9,a,9,a
1991,1991,AB,Alberta,Alberta,October,Octobre,65,a,65,a
1991,1991,AB,Alberta,Alberta,November,Novembre,6,a,6,a
1991,1991,AB,Alberta,Alberta,December,DÈcembre,7,a,7,a
1991,1991,AB,Alberta,Alberta,February,FÈvrier,4,a,4,a
1991,1991,AB,Alberta,Alberta,March,Mars,8,a,8,a
1991,1991,AB,Alberta,Alberta,April,Avril,111,a,111,a
1991,1991,AB,Alberta,Alberta,May,Mai,197,a,197,a
1991,1991,AB,Alberta,Alberta,June,Juin,111,a,111,a
1991,1991,AB,Alberta,Alberta,July,Juillet,119,a,119,a
1991,1991,AB,Alberta,Alberta,August,Ao˚t,234,a,234,a
1991,1991,AB,Alberta,Alberta,September,Septembre,53,a,53,a
1992,1992,AB,Alberta,Alberta,January,Janvier,14,a,14,a
1992,1992,AB,Alberta,Alberta,October,Octobre,29,a,29,a
1992,1992,AB,Alberta,Alberta,November,Novembre,15,a,15,a
